bird_id,X,Y
1341_S13,-121.65685,34.19952
1341_S13,-121.66057,34.20363
1341_S13,-121.63887,34.21005
1341_S13,-121.6009,34.20706
1341_S13,-121.59731,34.20804
1341_S13,-121.55194,34.22991
1341_S13,-121.50396,34.25416
1341_S13,-121.46165,34.27863
1341_S13,-121.40184000000001,34.29664
1341_S13,-121.33352,34.31423
1341_S13,-121.27842,34.32924
1341_S13,-121.21738,34.33997
1341_S13,-121.17187,34.36652
1341_S13,-121.12335,34.38593
1341_S13,-121.08173,34.39572
1341_S13,-121.07286,34.3799
1341_S13,-121.07226,34.38052
1341_S13,-121.07148,34.3813
1341_S13,-121.07053,34.38322
1341_S13,-121.06987,34.38472
1341_S13,-121.06874,34.38616
1341_S13,-121.06714,34.38689
1341_S13,-121.06512,34.38788
1341_S13,-121.06299,34.38804
1341_S13,-121.06077,34.3883
1341_S13,-121.05873,34.38839
1341_S13,-121.05714,34.38889
1341_S13,-121.05562,34.38929
1341_S13,-121.05403,34.38916
1341_S13,-121.05243,34.38915
1341_S13,-121.05126,34.38896
1341_S13,-121.05007,34.3887
1341_S13,-121.04894,34.38834
1341_S13,-121.04783,34.38805
1341_S13,-121.04642,34.38751
1341_S13,-121.04498,34.38732
1341_S13,-121.0443,34.38703
1341_S13,-121.05625,34.36543
1341_S13,-121.05717,34.36453
1341_S13,-121.06133,34.3562
1341_S13,-121.06235,34.35412
1341_S13,-121.06301,34.35226
1341_S13,-121.06738,34.3478
1341_S13,-121.06609,34.34727
1341_S13,-121.05797,34.31147
1341_S13,-121.06894,34.24984
1341_S13,-121.03635,34.20928
1341_S13,-120.99337,34.22261
1341_S13,-120.9433,34.23088
1341_S13,-120.89183,34.22825
1341_S13,-120.85395,34.21722
1341_S13,-120.80239,34.22995
1341_S13,-120.8041,34.22863
1341_S13,-120.80525,34.2268
1341_S13,-120.8066,34.22549
1341_S13,-120.77987,34.2224
1341_S13,-120.74378,34.23032
1341_S13,-120.71243,34.19897
1341_S13,-120.70719,34.15112
1341_S13,-120.72088,34.09823
1341_S13,-120.7372,34.04778
1341_S13,-120.74155,34.04035
1341_S13,-120.74136,34.03929
1341_S13,-120.74972,34.02339
1341_S13,-120.7583,33.97884
1341_S13,-120.76428,33.91907
1341_S13,-120.76342,33.89905
1341_S13,-120.76203,33.89773
1341_S13,-120.7604,33.89576
1341_S13,-120.76094,33.88702
1341_S13,-120.75941,33.88521
1341_S13,-120.75716,33.88307
1341_S13,-120.7554,33.88054
1341_S13,-120.7539,33.87786
1341_S13,-120.75262,33.87579
1341_S13,-120.7515,33.87337
1341_S13,-120.75019,33.87129
1341_S13,-120.74857,33.86905
1341_S13,-120.74683,33.86691
1341_S13,-120.74538,33.86482
1341_S13,-120.74388,33.86268
1341_S13,-120.74219,33.86063
1341_S13,-120.74081,33.85852
1341_S13,-120.73884,33.85623
1341_S13,-120.73745,33.85405
1341_S13,-120.73609,33.85158
1341_S13,-120.73422,33.84925
1341_S13,-120.73202,33.8469
1341_S13,-120.72996,33.84481
1341_S13,-120.72757,33.84222
1341_S13,-120.72581,33.8396
1341_S13,-120.72374,33.83711
1341_S13,-120.7218,33.83471
1341_S13,-120.71993,33.83222
1341_S13,-120.71811,33.82969
1341_S13,-120.7165,33.8271
1341_S13,-120.71514,33.82448
1341_S13,-120.71372,33.82175
1341_S13,-120.71229,33.81888
1341_S13,-120.71074,33.8164
1341_S13,-120.70944,33.81392
1341_S13,-120.70784,33.81115
1341_S13,-120.70652,33.8086
1341_S13,-120.70641,33.80625
1341_S13,-120.70376,33.8035
1341_S13,-120.70232,33.80106
1341_S13,-120.70097,33.79882
1341_S13,-120.69968,33.79635
1341_S13,-120.69864,33.79385
1341_S13,-120.69734,33.79114
1341_S13,-120.69673,33.78825
1341_S13,-120.69578,33.78543
1341_S13,-120.69513,33.78274
1341_S13,-120.69441,33.78024
1341_S13,-120.69361,33.7777
1341_S13,-120.69243,33.77522
1341_S13,-120.69019,33.77308
1341_S13,-120.68853,33.77041
1341_S13,-120.68824,33.76847
1341_S13,-120.69277,33.75275
1341_S13,-120.68154,33.73235
1341_S13,-120.68035,33.72969
1341_S13,-120.67913,33.72692
1341_S13,-120.679,33.724850000000004
1341_S13,-120.67934,33.72155
1341_S13,-120.67957,33.70549
1341_S13,-120.67937,33.69594
1341_S13,-120.69145,33.65938
1341_S13,-120.70594,33.59557
1341_S13,-120.72077,33.54099
1341_S13,-120.74324,33.48848
1341_S13,-120.76245,33.43322
1341_S13,-120.77905,33.40008
1341_S13,-120.77177,33.37701
1341_S13,-120.75596,33.32043
1341_S13,-120.71981,33.28012
1341_S13,-120.68028,33.25065
1341_S13,-120.68448,33.21386
1341_S13,-120.70317,33.17157
1341_S13,-120.68839,33.15497
1341_S13,-120.67904,33.16307
1341_S13,-120.67273,33.161
1341_S13,-120.68252,33.14682
1341_S13,-120.68576,33.13317
1341_S13,-120.69086,33.12182
1341_S13,-120.66387,33.10823
1341_S13,-120.69692,33.0923
1341_S13,-120.69801,33.09034
1341_S13,-120.69404,33.10372
1341_S13,-120.69005,33.10352
1341_S13,-120.68875,33.11049
1341_S13,-120.6906,33.1089
1341_S13,-120.66843,33.13035
1341_S13,-120.69115,33.11449
1341_S13,-120.69504,33.11507
1341_S13,-120.6874,33.09848
1341_S13,-120.67315,33.08234
1341_S13,-120.67759,33.0666
1341_S13,-120.66965,33.05024
1341_S13,-120.66733,33.03683
1341_S13,-120.6862,33.03103
1341_S13,-120.69676,33.0222
1341_S13,-120.71036,33.02643
1341_S13,-120.71697,33.02158
1341_S13,-120.7235,33.02057
1341_S13,-120.72968,33.0272
1341_S13,-120.72242,33.02798
1341_S13,-120.71308,33.02525
1341_S13,-120.69411,33.01731
1341_S13,-120.6818,33.00424
1341_S13,-120.66761,32.99485
1341_S13,-120.65209,32.99018
1341_S13,-120.64454,32.99071
1341_S13,-120.63067,32.97901
1341_S13,-120.61748,32.97287
1341_S13,-120.60368,32.98376
1341_S13,-120.60247,32.98379
1341_S13,-120.6015,32.98377
1341_S13,-120.60059,32.98374
1341_S13,-120.59908,32.98348
1341_S13,-120.59792,32.98338
1341_S13,-120.58676,32.97426
1341_S13,-120.54517,32.97445
1341_S13,-120.51474,32.96624
1341_S13,-120.49044,32.94506
1341_S13,-120.45187,32.93942
1341_S13,-120.4427,32.89321
1341_S13,-120.41,32.85453
1341_S13,-120.39995,32.83978
1341_S13,-120.34015,32.82696
1341_S13,-120.28733,32.8289
1341_S13,-120.18484,32.89486
1341_S13,-120.18728,32.90123
1341_S13,-120.12604,32.92955
1341_S13,-120.07831,32.95047
1341_S13,-120.06523,32.95522
1341_S13,-120.02001,32.98153
1341_S13,-119.96752,33.01306
1341_S13,-119.9226,33.02023
1341_S13,-119.89611,32.99589
1341_S13,-119.8708,32.98237
1341_S13,-119.87015,32.98052
1341_S13,-119.85804,32.97793
1341_S13,-119.85393,32.99317
1341_S13,-119.85067,32.99288
1341_S13,-119.85011,32.9927
1341_S13,-119.84981,32.99214
1341_S13,-119.84916,32.9916
1341_S13,-119.84771,32.99133
1341_S13,-119.84707,32.99088
1341_S13,-119.84731,32.98967
1341_S13,-119.84741,32.98907
1341_S13,-119.84713,32.98856
1341_S13,-119.84728,32.98743
1341_S13,-119.84727,32.98695
1341_S13,-119.84692,32.98621
1341_S13,-119.84724,32.98574
1341_S13,-119.84681,32.98448
1341_S13,-119.84687,32.9841
1341_S13,-119.84652,32.98304
1341_S13,-119.84624,32.98261
1341_S13,-119.84629,32.98226
1341_S13,-119.84598,32.98204
1341_S13,-119.84569,32.98176
1341_S13,-119.84535,32.98161
1341_S13,-119.84519,32.98141
1341_S13,-119.84496,32.98104
1341_S13,-119.84482,32.98134
1341_S13,-119.84478,32.98129
1341_S13,-119.84485,32.98149
1341_S13,-119.8452,32.982170000000004
1341_S13,-119.84505,32.98194
1341_S13,-119.84517,32.98225
1341_S13,-119.84469,32.98223
1341_S13,-119.84438,32.98269
1341_S13,-119.84373,32.9831
1341_S13,-119.8432,32.98352
1341_S13,-119.84289,32.98391
1341_S13,-119.84269,32.98441
1341_S13,-119.84223,32.98506
1341_S13,-119.84179,32.98553
1341_S13,-119.8413,32.9864
1341_S13,-119.84077,32.98699
1341_S13,-119.84035,32.98767
1341_S13,-119.83996,32.98817
1341_S13,-119.83978,32.98907
1341_S13,-119.83943,32.98989
1341_S13,-119.83914,32.99052
1341_S13,-119.8385,32.99135
1341_S13,-119.83814,32.99218
1341_S13,-119.83732,32.99334
1341_S13,-119.83683,32.99437
1341_S13,-119.83627,32.99575
1341_S13,-119.83547,32.99679
1341_S13,-119.83452,32.99785
1341_S13,-119.83373,32.99858
1341_S13,-119.83318,32.99963
1341_S13,-119.83196,33.00058
1341_S13,-119.83078,33.00125
1341_S13,-119.82959,33.00167
1341_S13,-119.82894,33.0042
1341_S13,-119.82816,33.00434
1341_S13,-119.82694,33.00474
1341_S13,-119.82562,33.00527
1341_S13,-119.82438,33.0057
1341_S13,-119.82336,33.00598
1341_S13,-119.82184,33.00663
1341_S13,-119.82067,33.00697
1341_S13,-119.81946,33.00715
1341_S13,-119.81832,33.00721
1341_S13,-119.81718,33.00719
1341_S13,-119.81673,33.00436
1341_S13,-119.81602,33.00383
1341_S13,-119.81522,33.00379
1341_S13,-119.81429,33.00342
1341_S13,-119.8132,33.00307
1341_S13,-119.81068,32.97178
1341_S13,-119.81104,32.96987
1341_S13,-119.81226,32.96444
1341_S13,-119.79929,32.96246
1341_S13,-119.73949,32.95653
1341_S13,-119.68724,32.93476
1341_S13,-119.67588,32.94126
1341_S13,-119.66533,32.94565
1341_S13,-119.66323,32.94536
1341_S13,-119.65258,32.92115
1341_S13,-119.63982,32.89124
1341_S13,-119.6074,32.84408
1341_S13,-119.58626,32.79602
1341_S13,-119.55807,32.74506
1341_S13,-119.54707,32.69243
1341_S13,-119.56,32.66142
1341_S13,-119.57808,32.66787
1341_S13,-119.57968,32.66903
1341_S13,-119.5666,32.64906
1341_S13,-119.56791,32.66588
1341_S13,-119.56963,32.66058
1341_S13,-119.56917,32.65534
1341_S13,-119.57076,32.6567
1341_S13,-119.57156,32.65399
1341_S13,-119.57522,32.64667
1341_S13,-119.57678,32.65252
1341_S13,-119.5762,32.65446
1341_S13,-119.57448,32.65558
1341_S13,-119.57486,32.64788
1341_S13,-119.57406,32.64387
1341_S13,-119.57398,32.64903
1341_S13,-119.56859,32.64769
1341_S13,-119.5707,32.64372
1341_S13,-119.577,32.64598
