bird_id,X,Y
1341_S13,-119.19222,31.45663
1341_S13,-119.18753,31.46706
1341_S13,-119.15237,31.49579
1341_S13,-119.15782,31.49907
1341_S13,-119.13858,31.52444
1341_S13,-119.13552,31.54649
1341_S13,-119.16342,31.54559
1341_S13,-119.16256,31.54497
1341_S13,-119.16814,31.55202
1341_S13,-119.17158,31.54584
1341_S13,-119.1616,31.54556
1341_S13,-119.158,31.55175
1341_S13,-119.1335,31.60301
1341_S13,-119.12145,31.61245
1341_S13,-119.09451,31.64154
1341_S13,-119.10709,31.65694
1341_S13,-119.10783,31.65637
1341_S13,-119.10366,31.65995
1341_S13,-119.09991,31.65824
1341_S13,-119.09913,31.65498
1341_S13,-119.10286,31.65505
1341_S13,-119.09998,31.67166
1341_S13,-119.04218,31.74134
1341_S13,-119.03108,31.74767
1341_S13,-118.98704,31.77964
1341_S13,-118.93562,31.82139
1341_S13,-118.89565,31.85978
1341_S13,-118.89255,31.876830000000002
1341_S13,-118.86725,31.89733
1341_S13,-118.86466,31.89607
1341_S13,-118.86214,31.89444
1341_S13,-118.85942,31.89269
1341_S13,-118.85711,31.89118
1341_S13,-118.86096,31.87108
1341_S13,-118.88264,31.79598
1341_S13,-118.90158,31.70748
1341_S13,-118.91482,31.68126
1341_S13,-118.94457,31.63217
1341_S13,-118.969,31.59911
1341_S13,-118.98719,31.57363
1341_S13,-118.97013,31.5981
1341_S13,-118.95407,31.622
1341_S13,-118.91744,31.65582
1341_S13,-118.88808,31.69105
1341_S13,-118.86288,31.71624
1341_S13,-118.83507,31.75633
1341_S13,-118.81604,31.77381
1341_S13,-118.77972,31.80459
1341_S13,-118.77777,31.79421
1341_S13,-118.79326,31.73898
1341_S13,-118.80394,31.68042
1341_S13,-118.80324,31.67285
1341_S13,-118.80033,31.67172
1341_S13,-118.79724,31.67102
1341_S13,-118.79377,31.67
1341_S13,-118.79091,31.66899
1341_S13,-118.78752,31.66806
1341_S13,-118.78425,31.66712
1341_S13,-118.78164,31.66655
1341_S13,-118.77901,31.66526
1341_S13,-118.77658,31.66407
1341_S13,-118.77424,31.66273
1341_S13,-118.77191,31.66155
1341_S13,-118.77006,31.66035
1341_S13,-118.768,31.6591
1341_S13,-118.76612,31.65768
1341_S13,-118.7645,31.65643
1341_S13,-118.76305,31.65506
1341_S13,-118.76138,31.65359
1341_S13,-118.76,31.65229
1341_S13,-118.75884,31.65111
1341_S13,-118.75746,31.64979
1341_S13,-118.75608,31.64889
1341_S13,-118.75418,31.64845
1341_S13,-118.75226,31.64833
1341_S13,-118.75033,31.64778
1341_S13,-118.74862,31.64739
1341_S13,-118.74722,31.64705
1341_S13,-118.7452,31.64644
1341_S13,-118.74364,31.64638
1341_S13,-118.7418,31.64536
1341_S13,-118.74002,31.6455
1341_S13,-118.73824,31.6451
1341_S13,-118.73683,31.64459
1341_S13,-118.73586,31.6442
1341_S13,-118.73423,31.64341
1341_S13,-118.73267,31.64287
1341_S13,-118.73122,31.64238
1341_S13,-118.72918,31.64184
1341_S13,-118.72817,31.64162
1341_S13,-118.72661,31.64126
1341_S13,-118.7247,31.64098
1341_S13,-118.72323,31.6409
1341_S13,-118.72118,31.64053
1341_S13,-118.71973,31.63999
1341_S13,-118.71812,31.63943
1341_S13,-118.71649,31.63863
1341_S13,-118.71516,31.63729
1341_S13,-118.71397,31.6362
1341_S13,-118.71193,31.63563
1341_S13,-118.70947,31.63528
1341_S13,-118.70747,31.63473
1341_S13,-118.70515,31.63429
1341_S13,-118.70282,31.6337
1341_S13,-118.70046,31.63314
1341_S13,-118.6985,31.63262
1341_S13,-118.69578,31.63201
1341_S13,-118.69487,31.62893
1341_S13,-118.69274,31.62782
1341_S13,-118.69275,31.62295
1341_S13,-118.71181,31.58977
1341_S13,-118.72899,31.56045
1341_S13,-118.75989,31.51236
1341_S13,-118.78801,31.46623
1341_S13,-118.80517999999999,31.41651
1341_S13,-118.83763,31.36251
1341_S13,-118.87443,31.32672
1341_S13,-118.9088,31.30261
1341_S13,-118.92059,31.31087
1341_S13,-118.92698,31.32531
1341_S13,-118.93906,31.3387
1341_S13,-118.94316,31.35147
1341_S13,-118.96896,31.34139
1341_S13,-119.00455,31.31228
1341_S13,-118.98673,31.31979
1341_S13,-118.9901,31.32569
1341_S13,-118.9982,31.33838
1341_S13,-119.005,31.34296
1341_S13,-118.99711,31.35985
1341_S13,-118.94594,31.44505
1341_S13,-118.94172,31.46072
1341_S13,-118.93625,31.47374
1341_S13,-118.91788,31.51631
1341_S13,-118.91561,31.52358
1341_S13,-118.89865,31.55936
1341_S13,-118.87262,31.58575
1341_S13,-118.82737,31.61726
1341_S13,-118.77835,31.65174
1341_S13,-118.67371,31.74178
1341_S13,-118.65594,31.75803
1341_S13,-118.6113,31.80194
1341_S13,-118.57032,31.83367
1341_S13,-118.52195,31.87959
1341_S13,-118.51241,31.90192
1341_S13,-118.45715,31.94322
1341_S13,-118.24698,32.09723
1341_S13,-118.23966,32.11255
1341_S13,-118.24398,32.10868
1341_S13,-118.24319,32.11163
1341_S13,-118.24125,32.11638
1341_S13,-118.23135,32.13052
1341_S13,-118.20372,32.17276
1341_S13,-118.1591,32.26657
1341_S13,-118.15013,32.28896
1341_S13,-118.13227,32.33821
1341_S13,-118.14778,32.36767
1341_S13,-118.18377,32.3783
1341_S13,-118.21396,32.39187
1341_S13,-118.23971,32.40263
1341_S13,-118.23171,32.43095
1341_S13,-118.22004,32.45663
1341_S13,-118.20243,32.49962
1341_S13,-118.20337,32.51387
1341_S13,-118.20322,32.51398
1341_S13,-118.20769,32.5094
1341_S13,-118.20752,32.45935
1341_S13,-118.2084,32.42621
1341_S13,-118.23025,32.40992
1341_S13,-118.23907,32.35269
1341_S13,-118.24316,32.17449
1341_S13,-118.24305,32.17466
1341_S13,-118.24328,32.1744
1341_S13,-118.24137,32.16852
1341_S13,-118.23709,32.17018
1341_S13,-118.23769,32.15471
1341_S13,-118.19911,32.1415
1341_S13,-118.18819,32.15102
1341_S13,-118.15879,32.18415
1341_S13,-118.1491,32.19725
1341_S13,-118.15394,32.19955
1341_S13,-118.15307,32.19882
1341_S13,-118.14614,32.17751
1341_S13,-118.14476,32.179
1341_S13,-118.14258,32.18079
1341_S13,-118.14,32.1828
1341_S13,-118.13743,32.18483
1341_S13,-118.13437,32.18613
1341_S13,-118.13179,32.18766
1341_S13,-118.12938,32.18914
1341_S13,-118.12706,32.19045
1341_S13,-118.12471,32.19178
1341_S13,-118.12255999999999,32.19271
1341_S13,-118.12076,32.19376
1341_S13,-118.11891,32.1947
1341_S13,-118.11723,32.19551
1341_S13,-118.1151,32.19615
1341_S13,-118.11329,32.19663
1341_S13,-118.11174,32.19692
1341_S13,-118.11065,32.19811
1341_S13,-118.11001,32.19959
1341_S13,-118.10896,32.20063
1341_S13,-118.10738,32.20118
1341_S13,-118.10592,32.20195
1341_S13,-118.1045,32.20262
1341_S13,-118.103,32.2034
1341_S13,-118.10161,32.20422
1341_S13,-118.1,32.20506
1341_S13,-118.0987,32.2067
1341_S13,-118.0967,32.20802
1341_S13,-118.09487,32.20937
1341_S13,-118.09293,32.21071
1341_S13,-118.09091,32.21164
1341_S13,-118.08876,32.21304
1341_S13,-118.08704,32.21427
1341_S13,-118.08528,32.21568
1341_S13,-118.08369,32.21653
1341_S13,-118.08195,32.21704
1341_S13,-118.07999,32.21715
1341_S13,-118.07853,32.21734
1341_S13,-118.07716,32.21757
1341_S13,-118.07551,32.2177
1341_S13,-118.06465,32.2282
1341_S13,-118.0598,32.23267
1341_S13,-118.05821,32.23291
1341_S13,-118.05633,32.23318
1341_S13,-118.05401,32.23331
1341_S13,-118.05191,32.2337
1341_S13,-118.04914,32.23343
1341_S13,-118.04793,32.23405
1341_S13,-118.04585,32.23406
1341_S13,-118.04406,32.23396
1341_S13,-118.04202,32.23398
1341_S13,-118.03479,32.23724
1341_S13,-118.03468,32.23858
1341_S13,-118.03368,32.25036
1341_S13,-118.03829,32.25925
1341_S13,-118.04343,32.25655
1341_S13,-118.04487,32.253660000000004
1341_S13,-118.04314,32.25298
1341_S13,-118.04163,32.25232
1341_S13,-118.04013,32.25178
1341_S13,-118.04318,32.25032
1341_S13,-118.04225,32.24964
1341_S13,-118.04105,32.24894
1341_S13,-118.04705,32.24722
1341_S13,-118.05917,32.24781
1341_S13,-118.08937,32.23707
1341_S13,-118.12427,32.21588
1341_S13,-118.16092,32.19192
1341_S13,-118.19554,32.17028
1341_S13,-118.17605,32.198480000000004
1341_S13,-118.1906,32.21075
1341_S13,-118.21027,32.21635
1341_S13,-118.19736,32.25028
