bird_id,X,Y
1341_S13,-119.95807,32.85284
1341_S13,-119.95689,32.85081
1341_S13,-119.95514,32.84914
1341_S13,-119.95236,32.84932
1341_S13,-119.95167,32.84807
1341_S13,-119.94995,32.84712
1341_S13,-119.94885,32.84562
1341_S13,-119.94766,32.84382
1341_S13,-119.9466,32.84177
1341_S13,-119.94607,32.83991
1341_S13,-119.94592,32.83748
1341_S13,-119.94525,32.83504
1341_S13,-119.94478,32.83281
1341_S13,-119.94391,32.83091
1341_S13,-119.94313,32.82899
1341_S13,-119.9427,32.82661
1341_S13,-119.94223,32.82404
1341_S13,-119.94165,32.82177
1341_S13,-119.94142,32.81934
1341_S13,-119.94111,32.81763
1341_S13,-119.94091,32.81526
1341_S13,-119.94093,32.81373
1341_S13,-119.94126,32.81185
1341_S13,-119.94076,32.81009
1341_S13,-119.94046,32.80811
1341_S13,-119.94024,32.80575
1341_S13,-119.94027,32.80331
1341_S13,-119.93995,32.80121
1341_S13,-119.93941,32.79899
1341_S13,-119.93966,32.79653
1341_S13,-119.93976,32.79382
1341_S13,-119.94185,32.79359
1341_S13,-119.96843,32.77256
1341_S13,-119.95496,32.80199
1341_S13,-119.94473,32.82856
1341_S13,-119.95404,32.84417
1341_S13,-119.97843,32.85549
1341_S13,-119.98951,32.85861
1341_S13,-119.9952,32.86297
1341_S13,-119.99545,32.87223
1341_S13,-119.98968,32.87783
1341_S13,-119.98875,32.88123
1341_S13,-119.98384,32.88743
1341_S13,-119.98955,32.89257
1341_S13,-119.98881,32.89543
1341_S13,-119.98788,32.9053
1341_S13,-120.01228,32.90606
1341_S13,-120.04375,32.90829
1341_S13,-120.0502,32.92891
1341_S13,-120.06263,32.93931
1341_S13,-120.09919,32.92676
1341_S13,-120.13718,32.92459
1341_S13,-120.14322,32.91959
1341_S13,-120.1434,32.91952
1341_S13,-120.14181,32.91784
1341_S13,-120.14089,32.91533
1341_S13,-120.14984,32.92009
1341_S13,-120.16905,32.92819
1341_S13,-120.16796,32.9277
1341_S13,-120.16875,32.92771
1341_S13,-120.21051,32.90797
1341_S13,-120.27272,32.92541
1341_S13,-120.28078,32.92537
1341_S13,-120.2877,32.93567
1341_S13,-120.2858,32.95835
1341_S13,-120.27192,32.98961
1341_S13,-120.2722,33.00193
1341_S13,-120.27882,33.01709
1341_S13,-120.26774,33.04775
1341_S13,-120.26175,33.06035
1341_S13,-120.25321,33.09238
1341_S13,-120.23053,33.13091
1341_S13,-120.2249,33.15874
1341_S13,-120.2176,33.1924
1341_S13,-120.21696,33.19199
1341_S13,-120.21471,33.1898
1341_S13,-120.21227,33.18767
1341_S13,-120.20944,33.18567
1341_S13,-120.20673,33.18342
1341_S13,-120.20409,33.18104
1341_S13,-120.20117,33.17893
1341_S13,-120.18879,33.19932
1341_S13,-120.18723,33.19767
1341_S13,-120.18555,33.19574
1341_S13,-120.18391,33.1942
1341_S13,-120.18255,33.19279
1341_S13,-120.18034,33.19102
1341_S13,-120.17826,33.18915
1341_S13,-120.17623,33.18785
1341_S13,-120.17153,33.19652
1341_S13,-120.16928,33.19478
1341_S13,-120.1667,33.19307
1341_S13,-120.16414,33.19103
1341_S13,-120.15819,33.19391
1341_S13,-120.15514,33.19143
1341_S13,-120.15219,33.18903
1341_S13,-120.14911,33.1866
1341_S13,-120.1465,33.18406
1341_S13,-120.14381,33.18148
1341_S13,-120.14138,33.17907
1341_S13,-120.14061,33.17233
1341_S13,-120.13778,33.16952
1341_S13,-120.13508,33.16731
1341_S13,-120.13316,33.16777
1341_S13,-120.13079,33.16554
1341_S13,-120.12882,33.16306
1341_S13,-120.12636,33.162
